date,value,pct_change
2020-01-01,211400.0,-0.23596035865974807
2020-02-01,211900.0,0.0
2020-03-01,209500.0,-1.1326097215667796
2020-04-01,171800.0,-18.92402076451156
2020-05-01,175100.0,-17.36668239735725
2020-06-01,182900.0,-13.685700802265222
2020-07-01,184800.0,-12.78905143935819
2020-08-01,185000.0,-12.694667295894291
2020-09-01,186100.0,-12.175554506842845
2020-10-01,187100.0,-11.70363378952336
2020-11-01,187700.0,-11.420481359131662
2020-12-01,187600.0,-11.467673430863613
2021-01-01,186100.0,-12.175554506842845
2021-02-01,189200.0,-10.71260028315243
2021-03-01,190500.0,-10.099103350637096
2021-04-01,192500.0,-9.155261915998114
2021-05-01,192800.0,-9.013685700802265
2021-06-01,193300.0,-8.777725342142517
2021-07-01,196900.0,-7.078810759792353
2021-08-01,197000.0,-7.031618688060403
2021-09-01,197900.0,-6.606890042472868
2021-10-01,198800.0,-6.182161396885322
2021-11-01,199800.0,-5.710240679565837
2021-12-01,200600.0,-5.33270410571024
2022-01-01,201000.0,-5.143935818782442
2022-02-01,202100.0,-4.624823029731006
2022-03-01,203400.0,-4.011326097215672
2022-04-01,203900.0,-3.7753657385559247
2022-05-01,203800.0,-3.8225578102878743
2022-06-01,204100.0,-3.6809815950920255
2022-07-01,204700.0,-3.397829164700328
2022-08-01,204900.0,-3.3034450212364286
2022-09-01,204400.0,-3.5394053798961767
2022-10-01,204400.0,-3.5394053798961767
2022-11-01,204000.0,-3.728173666823975
2022-12-01,204100.0,-3.6809815950920255
2023-01-01,203400.0,-4.011326097215672
2023-02-01,204500.0,-3.492213308164227
2023-03-01,204000.0,-3.728173666823975
2023-04-01,203400.0,-4.011326097215672
2023-05-01,204700.0,-3.397829164700328
2023-06-01,204800.0,-3.350637092968378
2023-07-01,204800.0,-3.350637092968378
2023-08-01,204700.0,-3.397829164700328
2023-09-01,205600.0,-2.9731005191127924
2023-10-01,204200.0,-3.633789523360076
2023-11-01,204300.0,-3.5865974516281263
2023-12-01,203800.0,-3.8225578102878743
2024-01-01,205900.0,-2.8315243039169435
2024-02-01,204400.0,-3.5394053798961767
2024-03-01,204700.0,-3.397829164700328
2024-04-01,203300.0,-4.058518168947611
2024-05-01,203300.0,-4.058518168947611
2024-06-01,203600.0,-3.9169419537517736
2024-07-01,203300.0,-4.058518168947611
2024-08-01,203900.0,-3.7753657385559247
2024-09-01,203800.0,-3.8225578102878743
2024-10-01,204200.0,-3.633789523360076
2024-11-01,204000.0,-3.728173666823975
2024-12-01,204100.0,-3.6809815950920255
2025-01-01,204600.0,-3.4450212364322774
2025-02-01,203000.0,-4.20009438414346
2025-03-01,203600.0,-3.9169419537517736
2025-04-01,204500.0,-3.492213308164227
2025-05-01,204300.0,-3.5865974516281263
2025-06-01,204300.0,-3.5865974516281263
2025-07-01,204100.0,-3.6809815950920255
2025-08-01,204100.0,-3.6809815950920255
2025-09-01,203900.0,-3.7753657385559247
2025-10-01,204200.0,-3.633789523360076
2025-11-01,204600.0,-3.4450212364322774
2025-12-01,205000.0,-3.256252949504479
2026-01-01,206000.0,-2.784332232184994
2026-02-01,205200.0,-3.1618688060405797
