region,industry,metric_window,baseline_date,latest_date,baseline_jobs,latest_jobs,net_change,pct_change
United States,Financial Activities,since_feb_2020,2020-02-01,2026-03-01,8872000.0,9134000.0,262000.0,2.9531109107303877
United States,Government,past_12_months,2025-03-01,2026-03-01,23559000.0,23317000.0,-242000.0,-1.027208285580882
United States,Government,since_feb_2020,2020-02-01,2026-03-01,22857000.0,23317000.0,460000.0,2.012512578203614
United States,Information,past_12_months,2025-03-01,2026-03-01,2867000.0,2791000.0,-76000.0,-2.6508545517963027
United States,Information,since_feb_2020,2020-02-01,2026-03-01,2910000.0,2791000.0,-119000.0,-4.0893470790378
United States,Leisure and Hospitality,past_12_months,2025-03-01,2026-03-01,16823000.0,16999000.0,176000.0,1.0461867681150805
United States,Leisure and Hospitality,since_feb_2020,2020-02-01,2026-03-01,16889000.0,16999000.0,110000.0,0.6513115045295755
United States,Manufacturing,past_12_months,2025-03-01,2026-03-01,12666000.0,12591000.0,-75000.0,-0.5921364282330649
United States,Manufacturing,since_feb_2020,2020-02-01,2026-03-01,12743000.0,12591000.0,-152000.0,-1.1928117397787021
United States,Professional and Business Services,past_12_months,2025-03-01,2026-03-01,22457000.0,22417000.0,-40000.0,-0.17811818141336777
United States,Professional and Business Services,since_feb_2020,2020-02-01,2026-03-01,21483000.0,22417000.0,934000.0,4.347623702462412
United States,Retail,past_12_months,2025-03-01,2026-03-01,15457500.0,15427900.0,-29600.0,-0.19149280284651465
United States,Retail,since_feb_2020,2020-02-01,2026-03-01,15519200.0,15427900.0,-91300.0,-0.5883035208000412
